Last Update,Neighbourhood,Development,Developer,Floor Level,Apartment Number ,ApartmentType,Internal Area,External Area,Total Area,Rate,Price,Discounted amount,Launch day Price Incl.VAT,Status,Orientation/View
10-Feb-23,Sea Point,Station House,Berman Brothers,1st,113,STUDIO,37,8,45,54444,2450000,,,UNSOLD,F Sea Point
10-Feb-23,Sea Point,Station House,Berman Brothers,1st,114,STUDIO,37,8,45,54444,2450000,,,UNSOLD,F Sea Point
10-Feb-23,Sea Point,Station House,Berman Brothers,1st,116,STUDIO,39,49,88,28977,2550000,,,SOLD,Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,1st,117,STUDIO,35,8,43,59302,2550000,,,SOLD,Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,1st,118,STUDIO,35,8,43,59302,2550000,,,SOLD,Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,1st,119,STUDIO,35,8,43,59302,2550000,,,SOLD,Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,1st,120,STUDIO,35,8,43,59302,2550000,,,SOLD,Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,1st,121,STUDIO,35,8,43,59302,2550000,,,SOLD,Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,1st,122,STUDIO,35,8,43,59302,2550000,,,SOLD,Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,1st,123,STUDIO,35,8,43,59302,2550000,,,SOLD,Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,1st,124,STUDIO,35,8,43,59302,2550000,,,SOLD,Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,1st,125,STUDIO,35,8,43,59302,2550000,,,SOLD,Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,1st,126,STUDIO,35,8,43,59302,2550000,,,SOLD,Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,1st,127,STUDIO,35,8,43,59302,2550000,,,SOLD,Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,1st,130,STUDIO,38,9,47,51043,2399000,,,SOLD,F Cape Town
10-Feb-23,Sea Point,Station House,Berman Brothers,1st,131,STUDIO,37,8,45,54444,2450000,,,UNSOLD,F Cape Town
